id;region_orden;comuna;comuna18;region;provincia;region_nom;region_nom_small;comuna_nom;region_capital;comuna_extrema;gran_santiago;gran_santiago_zonas
1;1;15101;15101;15;151;De Arica y Parinacota;Arica y Parinacota;Arica;TRUE;0;FALSE;
2;1;15102;15102;15;151;De Arica y Parinacota;Arica y Parinacota;Camarones;FALSE;2;FALSE;
3;1;15201;15201;15;152;De Arica y Parinacota;Arica y Parinacota;Putre;FALSE;2;FALSE;
4;1;15202;15202;15;152;De Arica y Parinacota;Arica y Parinacota;General Lagos;FALSE;1;FALSE;
5;2;1101;1101;1;11;De Tarapacá;Tarapacá;Iquique;TRUE;0;FALSE;
6;2;1107;1107;1;11;De Tarapacá;Tarapacá;Alto Hospicio;FALSE;0;FALSE;
7;2;1401;1401;1;14;De Tarapacá;Tarapacá;Pozo Almonte;FALSE;0;FALSE;
8;2;1402;1402;1;14;De Tarapacá;Tarapacá;Camiña;FALSE;0;FALSE;
9;2;1403;1403;1;14;De Tarapacá;Tarapacá;Colchane;FALSE;1;FALSE;
10;2;1404;1404;1;14;De Tarapacá;Tarapacá;Huara;FALSE;0;FALSE;
11;2;1405;1405;1;14;De Tarapacá;Tarapacá;Pica;FALSE;0;FALSE;
12;3;2101;2101;2;21;De Antofagasta;Antofagasta;Antofagasta;TRUE;0;FALSE;
13;3;2102;2102;2;21;De Antofagasta;Antofagasta;Mejillones;FALSE;0;FALSE;
14;3;2103;2103;2;21;De Antofagasta;Antofagasta;Sierra Gorda;FALSE;0;FALSE;
15;3;2104;2104;2;21;De Antofagasta;Antofagasta;Taltal;FALSE;0;FALSE;
16;3;2201;2201;2;22;De Antofagasta;Antofagasta;Calama;FALSE;0;FALSE;
17;3;2202;2202;2;22;De Antofagasta;Antofagasta;Ollagüe;FALSE;1;FALSE;
18;3;2203;2203;2;22;De Antofagasta;Antofagasta;San Pedro de Atacama;FALSE;0;FALSE;
19;3;2301;2301;2;23;De Antofagasta;Antofagasta;Tocopilla;FALSE;0;FALSE;
20;3;2302;2302;2;23;De Antofagasta;Antofagasta;María Elena;FALSE;0;FALSE;
21;4;3101;3101;3;31;De Atacama;Atacama;Copiapó;TRUE;0;FALSE;
22;4;3102;3102;3;31;De Atacama;Atacama;Caldera;FALSE;0;FALSE;
23;4;3103;3103;3;31;De Atacama;Atacama;Tierra Amarilla;FALSE;0;FALSE;
24;4;3201;3201;3;32;De Atacama;Atacama;Chañaral;FALSE;0;FALSE;
25;4;3202;3202;3;32;De Atacama;Atacama;Diego de Almagro;FALSE;0;FALSE;
26;4;3301;3301;3;33;De Atacama;Atacama;Vallenar;FALSE;0;FALSE;
27;4;3302;3302;3;33;De Atacama;Atacama;Alto del Carmen;FALSE;0;FALSE;
28;4;3303;3303;3;33;De Atacama;Atacama;Freirina;FALSE;0;FALSE;
29;4;3304;3304;3;33;De Atacama;Atacama;Huasco;FALSE;0;FALSE;
30;5;4101;4101;4;41;De Coquimbo;Coquimbo;La Serena;TRUE;0;FALSE;
31;5;4102;4102;4;41;De Coquimbo;Coquimbo;Coquimbo;FALSE;0;FALSE;
32;5;4103;4103;4;41;De Coquimbo;Coquimbo;Andacollo;FALSE;0;FALSE;
33;5;4104;4104;4;41;De Coquimbo;Coquimbo;La Higuera;FALSE;0;FALSE;
34;5;4105;4105;4;41;De Coquimbo;Coquimbo;Paiguano;FALSE;0;FALSE;
35;5;4106;4106;4;41;De Coquimbo;Coquimbo;Vicuña;FALSE;0;FALSE;
36;5;4201;4201;4;42;De Coquimbo;Coquimbo;Illapel;FALSE;0;FALSE;
37;5;4202;4202;4;42;De Coquimbo;Coquimbo;Canela;FALSE;0;FALSE;
38;5;4203;4203;4;42;De Coquimbo;Coquimbo;Los Vilos;FALSE;0;FALSE;
39;5;4204;4204;4;42;De Coquimbo;Coquimbo;Salamanca;FALSE;0;FALSE;
40;5;4301;4301;4;43;De Coquimbo;Coquimbo;Ovalle;FALSE;0;FALSE;
41;5;4302;4302;4;43;De Coquimbo;Coquimbo;Combarbalá;FALSE;0;FALSE;
42;5;4303;4303;4;43;De Coquimbo;Coquimbo;Monte Patria;FALSE;0;FALSE;
43;5;4304;4304;4;43;De Coquimbo;Coquimbo;Punitaqui;FALSE;0;FALSE;
44;5;4305;4305;4;43;De Coquimbo;Coquimbo;Río Hurtado;FALSE;0;FALSE;
45;6;5101;5101;5;51;De Valparaíso;Valparaíso;Valparaíso;TRUE;0;FALSE;
46;6;5102;5102;5;51;De Valparaíso;Valparaíso;Casablanca;FALSE;0;FALSE;
47;6;5103;5103;5;51;De Valparaíso;Valparaíso;Concón;FALSE;0;FALSE;
48;6;5104;5104;5;51;De Valparaíso;Valparaíso;Juan Fernández;FALSE;1;FALSE;
49;6;5105;5105;5;51;De Valparaíso;Valparaíso;Puchuncaví;FALSE;0;FALSE;
50;6;5107;5107;5;51;De Valparaíso;Valparaíso;Quintero;FALSE;0;FALSE;
51;6;5109;5109;5;51;De Valparaíso;Valparaíso;Viña del Mar;FALSE;0;FALSE;
52;6;5201;5201;5;52;De Valparaíso;Valparaíso;Isla de Pascua;FALSE;1;FALSE;
53;6;5301;5301;5;53;De Valparaíso;Valparaíso;Los Andes;FALSE;0;FALSE;
54;6;5302;5302;5;53;De Valparaíso;Valparaíso;Calle Larga;FALSE;0;FALSE;
55;6;5303;5303;5;53;De Valparaíso;Valparaíso;Rinconada;FALSE;0;FALSE;
56;6;5304;5304;5;53;De Valparaíso;Valparaíso;San Esteban;FALSE;0;FALSE;
57;6;5401;5401;5;54;De Valparaíso;Valparaíso;La Ligua;FALSE;0;FALSE;
58;6;5402;5402;5;54;De Valparaíso;Valparaíso;Cabildo;FALSE;0;FALSE;
59;6;5403;5403;5;54;De Valparaíso;Valparaíso;Papudo;FALSE;0;FALSE;
60;6;5404;5404;5;54;De Valparaíso;Valparaíso;Petorca;FALSE;0;FALSE;
61;6;5405;5405;5;54;De Valparaíso;Valparaíso;Zapallar;FALSE;0;FALSE;
62;6;5501;5501;5;55;De Valparaíso;Valparaíso;Quillota;FALSE;0;FALSE;
63;6;5502;5502;5;55;De Valparaíso;Valparaíso;Calera;FALSE;0;FALSE;
64;6;5503;5503;5;55;De Valparaíso;Valparaíso;Hijuelas;FALSE;0;FALSE;
65;6;5504;5504;5;55;De Valparaíso;Valparaíso;La Cruz;FALSE;0;FALSE;
66;6;5506;5506;5;55;De Valparaíso;Valparaíso;Nogales;FALSE;0;FALSE;
67;6;5601;5601;5;56;De Valparaíso;Valparaíso;San Antonio;FALSE;0;FALSE;
68;6;5602;5602;5;56;De Valparaíso;Valparaíso;Algarrobo;FALSE;0;FALSE;
69;6;5603;5603;5;56;De Valparaíso;Valparaíso;Cartagena;FALSE;0;FALSE;
70;6;5604;5604;5;56;De Valparaíso;Valparaíso;El Quisco;FALSE;0;FALSE;
71;6;5605;5605;5;56;De Valparaíso;Valparaíso;El Tabo;FALSE;0;FALSE;
72;6;5606;5606;5;56;De Valparaíso;Valparaíso;Santo Domingo;FALSE;0;FALSE;
73;6;5701;5701;5;57;De Valparaíso;Valparaíso;San Felipe;FALSE;0;FALSE;
74;6;5702;5702;5;57;De Valparaíso;Valparaíso;Catemu;FALSE;0;FALSE;
75;6;5703;5703;5;57;De Valparaíso;Valparaíso;Llaillay;FALSE;0;FALSE;
76;6;5704;5704;5;57;De Valparaíso;Valparaíso;Panquehue;FALSE;0;FALSE;
77;6;5705;5705;5;57;De Valparaíso;Valparaíso;Putaendo;FALSE;0;FALSE;
78;6;5706;5706;5;57;De Valparaíso;Valparaíso;Santa María;FALSE;0;FALSE;
79;6;5801;5801;5;58;De Valparaíso;Valparaíso;Quilpué;FALSE;0;FALSE;
80;6;5802;5802;5;58;De Valparaíso;Valparaíso;Limache;FALSE;0;FALSE;
81;6;5803;5803;5;58;De Valparaíso;Valparaíso;Olmué;FALSE;0;FALSE;
82;6;5804;5804;5;58;De Valparaíso;Valparaíso;Villa Alemana;FALSE;0;FALSE;
83;7;13101;13101;13;131;Metropolitana de Santiago;Metropolitana;Santiago;FALSE;0;TRUE;Centro
84;7;13102;13102;13;131;Metropolitana de Santiago;Metropolitana;Cerrillos;FALSE;0;TRUE;Poniente
85;7;13103;13103;13;131;Metropolitana de Santiago;Metropolitana;Cerro Navia;FALSE;0;TRUE;Poniente
86;7;13104;13104;13;131;Metropolitana de Santiago;Metropolitana;Conchalí;FALSE;0;TRUE;Norte
87;7;13105;13105;13;131;Metropolitana de Santiago;Metropolitana;El Bosque;FALSE;0;TRUE;Sur
88;7;13106;13106;13;131;Metropolitana de Santiago;Metropolitana;Estación Central;FALSE;0;TRUE;Poniente
89;7;13107;13107;13;131;Metropolitana de Santiago;Metropolitana;Huechuraba;FALSE;0;TRUE;Norte
90;7;13108;13108;13;131;Metropolitana de Santiago;Metropolitana;Independencia;FALSE;0;TRUE;Norte
91;7;13109;13109;13;131;Metropolitana de Santiago;Metropolitana;La Cisterna;FALSE;0;TRUE;Sur
92;7;13110;13110;13;131;Metropolitana de Santiago;Metropolitana;La Florida;FALSE;0;TRUE;Sur
93;7;13111;13111;13;131;Metropolitana de Santiago;Metropolitana;La Granja;FALSE;0;TRUE;Sur
94;7;13112;13112;13;131;Metropolitana de Santiago;Metropolitana;La Pintana;FALSE;0;TRUE;Sur
